"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","finess.esante.gouv.fr/80.78.2.234","443","INFO","HTTP","",""
"pre_128cipher","finess.esante.gouv.fr/80.78.2.234","443","INFO","No 128 cipher limit bug","",""
"SSLv2","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","",""
"SSLv3","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","",""
"TLS1","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered","",""
"TLS1_1","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered","",""
"TLS1_2","finess.esante.gouv.fr/80.78.2.234","443","OK","offered","",""
"TLS1_3","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","finess.esante.gouv.fr/80.78.2.234","443","INFO","http/1.1","",""
"cipherlist_NULL","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","","CWE-327"
"cipherlist_LOW","finess.esante.gouv.fr/80.78.2.234","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","finess.esante.gouv.fr/80.78.2.234","443","INFO","not offered","",""
"cipherlist_STRONG_FS","finess.esante.gouv.fr/80.78.2.234","443","OK","offered","",""
"cipher_order-tls1_2","finess.esante.gouv.fr/80.78.2.234","443","OK","server","",""
"cipherorder_TLSv1_2","finess.esante.gouv.fr/80.78.2.234","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","finess.esante.gouv.fr/80.78.2.234","443","OK","server","",""
"FS","finess.esante.gouv.fr/80.78.2.234","443","OK","offered","",""
